"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:02:53.090,172.808,-75.075,28602.834874
1 Jan 2020 00:03:23.000,173.762,-75.078,28452.335916
1 Jan 2020 00:03:53.000,174.732,-75.087,28302.108960
1 Jan 2020 00:04:23.000,175.714,-75.102,28152.704704
1 Jan 2020 00:04:53.000,176.710,-75.123,28004.219048
1 Jan 2020 00:05:23.000,177.720,-75.150,27856.748621
1 Jan 2020 00:05:53.000,178.745,-75.183,27710.390724
1 Jan 2020 00:06:23.000,179.787,-75.222,27565.243273
1 Jan 2020 00:06:53.000,180.845,-75.267,27421.404730
1 Jan 2020 00:07:23.000,181.921,-75.318,27278.974040
1 Jan 2020 00:07:53.000,183.015,-75.375,27138.050553
1 Jan 2020 00:08:23.000,184.130,-75.437,26998.733943
1 Jan 2020 00:08:53.000,185.265,-75.505,26861.124126
1 Jan 2020 00:09:23.000,186.422,-75.579,26725.321169
1 Jan 2020 00:09:53.000,187.602,-75.658,26591.425193
1 Jan 2020 00:10:23.000,188.806,-75.742,26459.536271
1 Jan 2020 00:10:53.000,190.035,-75.831,26329.754319
1 Jan 2020 00:11:23.000,191.291,-75.925,26202.178986
1 Jan 2020 00:11:53.000,192.574,-76.023,26076.909271
1 Jan 2020 00:12:23.000,193.886,-76.127,25954.044448
1 Jan 2020 00:12:53.000,195.229,-76.234,25833.682356
1 Jan 2020 00:13:23.000,196.603,-76.345,25715.920318
1 Jan 2020 00:13:53.000,198.010,-76.460,25600.854737
1 Jan 2020 00:14:23.000,199.451,-76.578,25488.580950
1 Jan 2020 00:14:53.000,200.928,-76.700,25379.193076
1 Jan 2020 00:15:23.000,202.442,-76.823,25272.783858
1 Jan 2020 00:15:53.000,203.995,-76.950,25169.444509
1 Jan 2020 00:16:23.000,205.587,-77.077,25069.264546
1 Jan 2020 00:16:53.000,207.221,-77.207,24972.331416
1 Jan 2020 00:17:23.000,208.897,-77.337,24878.731165
1 Jan 2020 00:17:53.000,210.617,-77.468,24788.547005
1 Jan 2020 00:18:23.000,212.382,-77.598,24701.859988
1 Jan 2020 00:18:53.000,214.192,-77.728,24618.748624
1 Jan 2020 00:19:23.000,216.050,-77.857,24539.288710
1 Jan 2020 00:19:53.000,217.955,-77.984,24463.553157
1 Jan 2020 00:20:23.000,219.907,-78.108,24391.611822
1 Jan 2020 00:20:53.000,221.908,-78.230,24323.531203
1 Jan 2020 00:21:23.000,223.957,-78.348,24259.374854
1 Jan 2020 00:21:53.000,226.054,-78.462,24199.202349
1 Jan 2020 00:22:23.000,228.198,-78.571,24143.069727
1 Jan 2020 00:22:53.000,230.389,-78.675,24091.029194
1 Jan 2020 00:23:23.000,232.624,-78.773,24043.128989
1 Jan 2020 00:23:53.000,234.902,-78.864,23999.413255
1 Jan 2020 00:24:23.000,237.221,-78.948,23959.921921
1 Jan 2020 00:24:53.000,239.578,-79.024,23924.690507
1 Jan 2020 00:25:23.000,241.970,-79.092,23893.750371
1 Jan 2020 00:25:53.000,244.393,-79.151,23867.128096
1 Jan 2020 00:26:23.000,246.843,-79.201,23844.845774
1 Jan 2020 00:26:53.000,249.316,-79.242,23826.920853
1 Jan 2020 00:27:23.000,251.808,-79.273,23813.366091
1 Jan 2020 00:27:53.000,254.313,-79.294,23804.189520
1 Jan 2020 00:28:23.000,256.825,-79.305,23799.394413
1 Jan 2020 00:28:53.000,259.341,-79.306,23798.979338
1 Jan 2020 00:29:23.000,261.855,-79.296,23802.938062
1 Jan 2020 00:29:53.000,264.361,-79.277,23811.259652
