"Time (UTCG)","Azimuth (deg)","Elevation (deg)","Range (km)"
1 Jan 2020 00:00:00.000,244.062,-75.435,26998.448880
1 Jan 2020 00:00:30.000,244.767,-75.347,27200.948468
1 Jan 2020 00:01:00.000,245.464,-75.271,27404.459896
1 Jan 2020 00:01:30.000,246.155,-75.208,27608.771404
1 Jan 2020 00:02:00.000,246.840,-75.157,27813.675695
1 Jan 2020 00:02:30.000,247.522,-75.119,28018.970004
1 Jan 2020 00:03:00.000,248.201,-75.092,28224.456158
1 Jan 2020 00:03:30.000,248.879,-75.077,28429.940607
1 Jan 2020 00:03:54.843,249.440,-75.073,28599.964100
1 Jan 2020 01:08:42.158,89.648,-75.064,28595.161206
1 Jan 2020 01:09:12.000,91.067,-75.066,28469.228428
1 Jan 2020 01:09:42.000,92.515,-75.072,28345.209886
1 Jan 2020 01:10:12.000,93.983,-75.082,28223.916154
1 Jan 2020 01:10:42.000,95.474,-75.096,28105.483463
1 Jan 2020 01:11:12.000,96.986,-75.113,27990.045471
1 Jan 2020 01:11:42.000,98.521,-75.134,27877.732986
1 Jan 2020 01:12:12.000,100.079,-75.157,27768.673677
1 Jan 2020 01:12:42.000,101.661,-75.183,27662.991790
1 Jan 2020 01:13:12.000,103.265,-75.211,27560.807858
1 Jan 2020 01:13:42.000,104.894,-75.241,27462.238233
1 Jan 2020 01:14:12.000,106.546,-75.273,27367.395511
1 Jan 2020 01:14:42.000,108.222,-75.306,27276.387169
1 Jan 2020 01:15:12.000,109.922,-75.340,27189.316001
1 Jan 2020 01:15:42.000,111.645,-75.375,27106.279665
1 Jan 2020 01:16:12.000,113.392,-75.411,27027.370408
1 Jan 2020 01:16:42.000,115.160,-75.446,26952.674807
1 Jan 2020 01:17:12.000,116.951,-75.481,26882.273518
1 Jan 2020 01:17:42.000,118.764,-75.515,26816.240889
1 Jan 2020 01:18:12.000,120.597,-75.549,26754.645336
1 Jan 2020 01:18:42.000,122.449,-75.581,26697.548225
1 Jan 2020 01:19:12.000,124.320,-75.612,26645.004293
1 Jan 2020 01:19:42.000,126.209,-75.641,26597.061319
1 Jan 2020 01:20:12.000,128.114,-75.667,26553.759977
1 Jan 2020 01:20:42.000,130.034,-75.692,26515.133698
1 Jan 2020 01:21:12.000,131.967,-75.714,26481.208475
1 Jan 2020 01:21:42.000,133.912,-75.733,26452.003149
1 Jan 2020 01:22:12.000,135.868,-75.750,26427.528776
1 Jan 2020 01:22:42.000,137.832,-75.763,26407.788982
1 Jan 2020 01:23:12.000,139.803,-75.773,26392.779851
1 Jan 2020 01:23:42.000,141.779,-75.781,26382.489943
1 Jan 2020 01:24:12.000,143.758,-75.785,26376.900328
1 Jan 2020 01:24:42.000,145.739,-75.785,26375.984619
1 Jan 2020 01:25:12.000,147.720,-75.783,26379.709222
1 Jan 2020 01:25:42.000,149.699,-75.777,26388.033195
1 Jan 2020 01:26:12.000,151.675,-75.769,26400.908563
1 Jan 2020 01:26:42.000,153.645,-75.757,26418.280436
1 Jan 2020 01:27:12.000,155.609,-75.742,26440.087183
1 Jan 2020 01:27:42.000,157.565,-75.725,26466.260640
1 Jan 2020 01:28:12.000,159.511,-75.706,26496.726338
1 Jan 2020 01:28:42.000,161.446,-75.683,26531.403701
1 Jan 2020 01:29:12.000,163.370,-75.659,26570.206347
1 Jan 2020 01:29:42.000,165.281,-75.633,26613.042330
1 Jan 2020 01:30:12.000,167.177,-75.606,26659.814418
1 Jan 2020 01:30:42.000,169.060,-75.577,26710.420386
1 Jan 2020 01:31:12.000,170.926,-75.546,26764.753306
1 Jan 2020 01:31:42.000,172.777,-75.515,26822.701856
1 Jan 2020 01:32:12.000,174.612,-75.483,26884.150682
1 Jan 2020 01:32:42.000,176.430,-75.451,26948.980478
1 Jan 2020 01:33:12.000,178.231,-75.419,27017.068638
1 Jan 2020 01:33:42.000,180.015,-75.387,27088.289350
1 Jan 2020 01:34:12.000,181.781,-75.356,27162.513955
1 Jan 2020 01:34:42.000,183.531,-75.325,27239.611257
1 Jan 2020 01:35:12.000,185.264,-75.295,27319.447830
1 Jan 2020 01:35:42.000,186.980,-75.266,27401.888311
1 Jan 2020 01:36:12.000,188.680,-75.238,27486.795695
1 Jan 2020 01:36:42.000,190.364,-75.212,27574.031620
1 Jan 2020 01:37:12.000,192.032,-75.188,27663.456644
1 Jan 2020 01:37:42.000,193.686,-75.166,27754.930512
1 Jan 2020 01:38:12.000,195.324,-75.145,27848.312527
1 Jan 2020 01:38:42.000,196.949,-75.127,27943.461354
1 Jan 2020 01:39:12.000,198.560,-75.111,28040.235925
1 Jan 2020 01:39:42.000,200.159,-75.098,28138.495223
1 Jan 2020 01:40:12.000,201.746,-75.087,28238.098615
1 Jan 2020 01:40:42.000,203.321,-75.079,28338.906054
1 Jan 2020 01:41:12.000,204.885,-75.073,28440.778278
1 Jan 2020 01:41:42.000,206.440,-75.071,28543.576996
1 Jan 2020 01:41:56.845,207.205,-75.070,28594.744486
1 Jan 2020 04:03:58.606,308.447,-75.067,28594.158308
1 Jan 2020 04:04:28.000,309.727,-75.070,28449.492078
1 Jan 2020 04:04:58.000,311.042,-75.079,28302.015747
1 Jan 2020 04:05:28.000,312.367,-75.093,28154.871811
1 Jan 2020 04:05:58.000,313.704,-75.113,28008.221460
1 Jan 2020 04:06:28.000,315.053,-75.139,27862.228749
1 Jan 2020 04:06:58.000,316.415,-75.171,27717.060484
1 Jan 2020 04:07:28.000,317.794,-75.209,27572.886078
1 Jan 2020 04:07:58.000,319.189,-75.253,27429.877403
1 Jan 2020 04:08:28.000,320.603,-75.303,27288.208619
1 Jan 2020 04:08:58.000,322.036,-75.358,27148.055988
1 Jan 2020 04:09:28.000,323.491,-75.419,27009.597669
1 Jan 2020 04:09:58.000,324.970,-75.486,26873.013499
1 Jan 2020 04:10:28.000,326.473,-75.558,26738.484748
1 Jan 2020 04:10:58.000,328.002,-75.634,26606.193858
1 Jan 2020 04:11:28.000,329.560,-75.716,26476.324163
1 Jan 2020 04:11:58.000,331.148,-75.802,26349.059584
